           t              x              y              z             vz
     0.00000        0.00000        0.00000        0.00000        5.00000
     0.01000        0.05000        0.05000        0.04951        4.90200
     0.02000        0.10000        0.10000        0.09804        4.80400
     0.03000        0.15000        0.15000        0.14559        4.70600
     0.04000        0.20000        0.20000        0.19216        4.60800
     0.05000        0.25000        0.25000        0.23775        4.51000
     0.06000        0.30000        0.30000        0.28236        4.41200
     0.07000        0.35000        0.35000        0.32599        4.31400
     0.08000        0.40000        0.40000        0.36864        4.21600
     0.09000        0.45000        0.45000        0.41031        4.11800
     0.10000        0.50000        0.50000        0.45100        4.02000
     0.11000        0.55000        0.55000        0.49071        3.92200
     0.12000        0.60000        0.60000        0.52944        3.82400
     0.13000        0.65000        0.65000        0.56719        3.72600
     0.14000        0.70000        0.70000        0.60396        3.62800
     0.15000        0.75000        0.75000        0.63975        3.53000
     0.16000        0.80000        0.80000        0.67456        3.43200
     0.17000        0.85000        0.85000        0.70839        3.33400
     0.18000        0.90000        0.90000        0.74124        3.23600
     0.19000        0.95000        0.95000        0.77311        3.13800
     0.20000        1.00000        1.00000        0.80400        3.04000
     0.21000        1.05000        1.05000        0.83391        2.94200
     0.22000        1.10000        1.10000        0.86284        2.84400
     0.23000        1.15000        1.15000        0.89079        2.74600
     0.24000        1.20000        1.20000        0.91776        2.64800
     0.25000        1.25000        1.25000        0.94375        2.55000
     0.26000        1.30000        1.30000        0.96876        2.45200
     0.27000        1.35000        1.35000        0.99279        2.35400
     0.28000        1.40000        1.40000        1.01584        2.25600
     0.29000        1.45000        1.45000        1.03791        2.15800
     0.30000        1.50000        1.50000        1.05900        2.06000
     0.31000        1.55000        1.55000        1.07911        1.96200
     0.32000        1.60000        1.60000        1.09824        1.86400
     0.33000        1.65000        1.65000        1.11639        1.76600
     0.34000        1.70000        1.70000        1.13356        1.66800
     0.35000        1.75000        1.75000        1.14975        1.57000
     0.36000        1.80000        1.80000        1.16496        1.47200
     0.37000        1.85000        1.85000        1.17919        1.37400
     0.38000        1.90000        1.90000        1.19244        1.27600
     0.39000        1.95000        1.95000        1.20471        1.17800
     0.40000        2.00000        2.00000        1.21600        1.08000
     0.41000        2.05000        2.05000        1.22631        0.98200
     0.42000        2.10000        2.10000        1.23564        0.88400
     0.43000        2.15000        2.15000        1.24399        0.78600
     0.44000        2.20000        2.20000        1.25136        0.68800
     0.45000        2.25000        2.25000        1.25775        0.59000
     0.46000        2.30000        2.30000        1.26316        0.49200
     0.47000        2.35000        2.35000        1.26759        0.39400
     0.48000        2.40000        2.40000        1.27104        0.29600
     0.49000        2.45000        2.45000        1.27351        0.19800
     0.50000        2.50000        2.50000        1.27500        0.10000
     0.51000        2.55000        2.55000        1.27551        0.00200
     0.52000        2.60000        2.60000        1.27504       -0.09600
     0.53000        2.65000        2.65000        1.27359       -0.19400
     0.54000        2.70000        2.70000        1.27116       -0.29200
     0.55000        2.75000        2.75000        1.26775       -0.39000
     0.56000        2.80000        2.80000        1.26336       -0.48800
     0.57000        2.85000        2.85000        1.25799       -0.58600
     0.58000        2.90000        2.90000        1.25164       -0.68400
     0.59000        2.95000        2.95000        1.24431       -0.78200
     0.60000        3.00000        3.00000        1.23600       -0.88000
     0.61000        3.05000        3.05000        1.22671       -0.97800
     0.62000        3.10000        3.10000        1.21644       -1.07600
     0.63000        3.15000        3.15000        1.20519       -1.17400
     0.64000        3.20000        3.20000        1.19296       -1.27200
     0.65000        3.25000        3.25000        1.17975       -1.37000
     0.66000        3.30000        3.30000        1.16556       -1.46800
     0.67000        3.35000        3.35000        1.15039       -1.56600
     0.68000        3.40000        3.40000        1.13424       -1.66400
     0.69000        3.45000        3.45000        1.11711       -1.76200
     0.70000        3.50000        3.50000        1.09900       -1.86000
     0.71000        3.55000        3.55000        1.07991       -1.95800
     0.72000        3.60000        3.60000        1.05984       -2.05600
     0.73000        3.65000        3.65000        1.03879       -2.15400
