           t              x              v    Energia_Cinetica
     0.00000        0.00000        5.00000            12.50000
     0.10000        0.50000        5.00000            12.50000
     0.20000        1.00000        5.00000            12.50000
     0.30000        1.50000        5.00000            12.50000
     0.40000        2.00000        5.00000            12.50000
     0.50000        2.50000        5.00000            12.50000
     0.60000        3.00000        5.00000            12.50000
     0.70000        3.50000        5.00000            12.50000
     0.80000        4.00000        5.00000            12.50000
     0.90000        4.50000        5.00000            12.50000
     1.00000        5.00000        5.00000            12.50000
     1.10000        5.50000        5.00000            12.50000
     1.20000        6.00000        5.00000            12.50000
     1.30000        6.50000        5.00000            12.50000
     1.40000        7.00000        5.00000            12.50000
     1.50000        7.50000        5.00000            12.50000
     1.60000        8.00000        5.00000            12.50000
     1.70000        8.50000        5.00000            12.50000
     1.80000        9.00000        5.00000            12.50000
     1.90000        9.50000        5.00000            12.50000
     2.00000       10.00000        5.00000            12.50000
     2.10000       10.50000        5.00000            12.50000
     2.20000       11.00000        5.00000            12.50000
     2.30000       11.50000        5.00000            12.50000
     2.40000       12.00000        5.00000            12.50000
     2.50000       12.50000        5.00000            12.50000
     2.60000       13.00000        5.00000            12.50000
     2.70000       13.50000        5.00000            12.50000
     2.80000       14.00000        5.00000            12.50000
     2.90000       14.50000        5.00000            12.50000
     3.00000       15.00000        5.00000            12.50000
     3.10000       15.50000        5.00000            12.50000
     3.20000       16.00000        5.00000            12.50000
     3.30000       16.50000        5.00000            12.50000
     3.40000       17.00000        5.00000            12.50000
     3.50000       17.50000        5.00000            12.50000
     3.60000       18.00000        5.00000            12.50000
     3.70000       18.50000        5.00000            12.50000
     3.80000       19.00000        5.00000            12.50000
     3.90000       19.50000        5.00000            12.50000
     4.00000       20.00000        5.00000            12.50000
     4.10000       20.50000        5.00000            12.50000
     4.20000       21.00000        5.00000            12.50000
     4.30000       21.50000        5.00000            12.50000
     4.40000       22.00000        5.00000            12.50000
     4.50000       22.50000        5.00000            12.50000
     4.60000       23.00000        5.00000            12.50000
     4.70000       23.50000        5.00000            12.50000
     4.80000       24.00000        5.00000            12.50000
     4.90000       24.50000        5.00000            12.50000
