           t           x           y          vx          vy
     0.01000     1.00000     1.00000     0.10000     0.10000
     0.01100     1.00010     1.00010     0.10000     0.10000
     0.01200     1.00020     1.00020     0.10000     0.10000
     0.01300     1.00030     1.00030     0.10000     0.10000
     0.01400     1.00040     1.00040     0.10000     0.10000
     0.01500     1.00050     1.00050     0.10000     0.10000
     0.01600     1.00060     1.00060     0.10000     0.10000
     0.01700     1.00070     1.00070     0.10000     0.10000
     0.01800     1.00080     1.00080     0.10000     0.10000
     0.01900     1.00090     1.00090     0.10000     0.10000
     0.02000     1.00100     1.00100     0.10000     0.10000
     0.02100     1.00110     1.00110     0.10000     0.10000
     0.02200     1.00120     1.00120     0.10000     0.10000
     0.02300     1.00130     1.00130     0.10000     0.10000
     0.02400     1.00140     1.00140     0.10000     0.10000
     0.02500     1.00150     1.00150     0.10000     0.10000
     0.02600     1.00160     1.00160     0.10000     0.10000
     0.02700     1.00170     1.00170     0.10000     0.10000
     0.02800     1.00180     1.00180     0.10000     0.10000
     0.02900     1.00190     1.00190     0.10000     0.10000
     0.03000     1.00200     1.00200     0.10000     0.10000
     0.03100     1.00210     1.00210     0.10000     0.10000
     0.03200     1.00220     1.00220     0.10000     0.10000
     0.03300     1.00230     1.00230     0.10000     0.10000
     0.03400     1.00240     1.00240     0.10000     0.10000
     0.03500     1.00250     1.00250     0.10000     0.10000
     0.03600     1.00260     1.00260     0.10000     0.10000
     0.03700     1.00270     1.00270     0.10000     0.10000
     0.03800     1.00280     1.00280     0.10000     0.10000
     0.03900     1.00290     1.00290     0.10000     0.10000
     0.04000     1.00300     1.00300     0.10000     0.10000
     0.04100     1.00310     1.00310     0.10000     0.10000
     0.04200     1.00320     1.00320     0.10000     0.10000
     0.04300     1.00330     1.00330     0.10000     0.10000
     0.04400     1.00340     1.00340     0.10000     0.10000
     0.04500     1.00350     1.00350     0.10000     0.10000
     0.04600     1.00360     1.00360     0.10000     0.10000
     0.04700     1.00370     1.00370     0.10000     0.10000
     0.04800     1.00380     1.00380     0.10000     0.10000
     0.04900     1.00390     1.00390     0.10000     0.10000
     0.05000     1.00400     1.00400     0.10000     0.10000
     0.05100     1.00410     1.00410     0.10000     0.10000
     0.05200     1.00420     1.00420     0.10000     0.10000
     0.05300     1.00430     1.00430     0.10000     0.10000
     0.05400     1.00440     1.00440     0.10000     0.10000
     0.05500     1.00450     1.00450     0.10000     0.10000
     0.05600     1.00460     1.00460     0.10000     0.10000
     0.05700     1.00470     1.00470     0.10000     0.10000
     0.05800     1.00480     1.00480     0.10000     0.10000
     0.05900     1.00490     1.00490     0.10000     0.10000
     0.06000     1.00500     1.00500     0.10000     0.10000
     0.06100     1.00510     1.00510     0.10000     0.10000
     0.06200     1.00520     1.00520     0.10000     0.10000
     0.06300     1.00530     1.00530     0.10000     0.10000
     0.06400     1.00540     1.00540     0.10000     0.10000
     0.06500     1.00550     1.00550     0.10000     0.10000
     0.06600     1.00560     1.00560     0.10000     0.10000
     0.06700     1.00570     1.00570     0.10000     0.10000
     0.06800     1.00580     1.00580     0.10000     0.10000
     0.06900     1.00590     1.00590     0.10000     0.10000
     0.07000     1.00600     1.00600     0.10000     0.10000
     0.07100     1.00610     1.00610     0.10000     0.10000
     0.07200     1.00620     1.00620     0.10000     0.10000
     0.07300     1.00630     1.00630     0.10000     0.10000
     0.07400     1.00640     1.00640     0.10000     0.10000
     0.07500     1.00650     1.00650     0.10000     0.10000
     0.07600     1.00660     1.00660     0.10000     0.10000
     0.07700     1.00670     1.00670     0.10000     0.10000
     0.07800     1.00680     1.00680     0.10000     0.10000
     0.07900     1.00690     1.00690     0.10000     0.10000
     0.08000     1.00700     1.00700     0.10000     0.10000
     0.08100     1.00710     1.00710     0.10000     0.10000
     0.08200     1.00720     1.00720     0.10000     0.10000
     0.08300     1.00730     1.00730     0.10000     0.10000
     0.08400     1.00740     1.00740     0.10000     0.10000
     0.08500     1.00750     1.00750     0.10000     0.10000
     0.08600     1.00760     1.00760     0.10000     0.10000
     0.08700     1.00770     1.00770     0.10000     0.10000
     0.08800     1.00780     1.00780     0.10000     0.10000
     0.08900     1.00790     1.00790     0.10000     0.10000
     0.09000     1.00800     1.00800     0.10000     0.10000
     0.09100     1.00810     1.00810     0.10000     0.10000
     0.09200     1.00820     1.00820     0.10000     0.10000
     0.09300     1.00830     1.00830     0.10000     0.10000
     0.09400     1.00840     1.00840     0.10000     0.10000
