           t              x              y              z             vz
     0.00000        0.00000        0.00000        0.00000        5.00000
     0.10000        0.50000        0.50000        0.40200        4.02000
     0.20000        1.00000        1.00000        0.70600        7.47858
     0.30000        0.87131        0.87131        1.35586        6.49858
     0.40000        0.74261        0.74261        1.90772        5.51858
     0.50000        0.61392        0.61392        2.36157        4.53858
     0.60000        0.48522        0.48522        2.71743        3.55858
     0.70000        0.35653        0.35653        2.97529        2.57858
     0.80000        0.22784        0.22784        3.13515        1.59858
     0.90000        0.09914        0.09914        3.19701        0.61858
     1.00000       -0.02955       -0.02955        3.16086       -0.36142
     1.10000       -0.15825       -0.15825        3.02672       -1.34142
     1.20000       -0.28694       -0.28694        2.79458       -2.32142
     1.30000       -0.41564       -0.41564        2.46444       -3.30142
     1.40000       -0.54433       -0.54433        2.03630       -4.28142
     1.50000       -0.67302       -0.67302        1.51015       -5.26142
     1.60000       -0.80172       -0.80172        0.88601       -6.24142
     1.70000       -0.93041       -0.93041        0.16387       -7.22142


         #xs             ys             zs
     2.00000        2.00000        2.00000
     2.00000        2.00000        2.00000
     2.00000        2.00000        2.00000
     2.00000        2.00000        2.00000
     2.00000        2.00000        2.00000
     2.00000        2.00000        2.00000
     2.00000        2.00000        2.00000
     2.00000        2.00000        2.00000
     2.00000        2.00000        2.00000
     2.00000        2.00000        2.00000
     2.00000        2.00000        2.00000
     2.00000        2.00000        2.00000
     2.00000        2.00000        2.00000
     2.00000        2.00000        2.00000
     2.00000        2.00000        2.00000
     2.00000        2.00000        2.00000
     2.00000        2.00000        2.00000
     2.00000        2.00000        2.00000
     2.00000        2.00000        2.00000
     2.00000        2.00000        2.00000
     2.00000        2.00000        2.00000
     2.00000        2.00000        2.00000
     2.00000        2.00000        2.00000
     2.00000        2.00000        2.00000
     2.00000        2.00000        2.00000
     2.00000        2.00000        2.00000
     2.00000        2.00000        2.00000
     2.00000        2.00000        2.00000
     2.00000        2.00000        2.00000
     2.00000        2.00000        2.00000
     2.00000        2.00000        2.00000
     2.00000        2.00000        2.00000
     2.00000        2.00000        2.00000
